Filename,Brand,Age,Step Therapy Requirements Documented in Policy,Number of Steps through Brands,Number of Steps through Generic,Step through-Phototherapy,TB Test required,Quantity Limits,Specialist Types,Initial Authorization Duration(in-months),Reauthorization Duration(in-months),Reauthorization Required,Reauthorization Requirements Documented in Policy,Access Score
296961-4569911.pdf,TREMFYA,FDA labelled age,"Step Therapy Requirements Documented in Policy:

Prior authorization is required for all biologic agents, including TREMFYA, for the treatment of moderate-to-severe plaque psoriasis. The following criteria must be met:

* The patient must have a documented history of inadequate response to, or intolerance to, at least two conventional systemic agents (e.g., cyclosporine, methotrexate, or acitretin) or a history of intolerance to, or inadequate response to, at least one conventional systemic agent and one topical therapy (e.g., corticosteroids, vitamin D analogues, or retinoids) (Menter et al. 2019).
* The patient must have a body surface area (BSA) of at least 10% affected by psoriasis (Pardasani et al. 2000).
* The patient must have a documented history of phototherapy (e.g., ultraviolet B [UVB] or psoralen plus ultraviolet A [PUVA]) (Pardasani et al. 2000).
* The patient must have a documented history of failure to respond to, or intolerance to, at least one non-biologic systemic agent (e.g., cyclosporine, methotrexate, or acitretin) (Menter et al. 2019).
* The patient must have a documented history of failure to respond to, or intolerance to, at least one topical therapy (e.g., corticosteroids, vitamin D analogues, or retinoids) (Menter et al. 2019).","Based on the provided document context, the steps required before TREMFYA approval for PsO are:",1,No,Yes,"NA

The document context does not explicitly mention quantity limits for TREMFYA. It only references quantity level limits for other brands and includes references to packet inserts for those brands.",Dermatologist,6,6,Yes,"NA

The provided document context does not contain the reauthorization requirements for TREMFYA (Psoriasis). The structured data section only contains general reauthorization criteria for multiple brands, but there is no specific information for TREMFYA.",50
337814-4985370.pdf,STELARA,FDA labelled age,NA,NA,NA,No,Yes,NA,NA,12,6,Yes,NA,75
337814-4985370.pdf,TREMFYA,FDA labelled age,NA,NA,NA,No,No,NA,NA,12,6,Yes,NA,75
364054-4720790.pdf,STELARA,FDA labelled age,NA,NA,NA,No,No,"NA 

(Note: The provided document context does not mention STELARA or its generic name, but rather IBS-D, a different indication and condition.)",Dermatologist,Unspecified,12,Yes,NA,50
364054-4720790.pdf,TREMFYA,FDA labelled age,NA,NA,1,NA,NA,"NA

The provided context does not mention any quantity limits for TREMFYA or its generic name for the indication of Psoriasis (PsO) / Plaque Psoriasis (moderate-to-severe).",Dermatologist,Unspecified,Unspecified,NA,NA,50
56061-4538520.pdf,STELARA,>=6,"Prior Authorization Criteria for STELARA in Plaque Psoriasis (moderate-to-severe):

1. The patient must have tried and failed at least one systemic therapy (e.g., cyclosporine, methotrexate, or a psoralen plus ultraviolet A light (PUVA) treatment) or have been unable to tolerate systemic therapy.
2. The patient must have tried and failed at least one phototherapy treatment (e.g., ultraviolet B (UVB) or PUVA).
3. The patient must have a body surface area (BSA) of 10% or greater affected by psoriasis.
4. The patient must have a history of inadequate response to, or intolerance of, at least one systemic therapy or phototherapy treatment.",NA,NA,No,NA,"NA

The provided context does not explicitly state a quantity limit for STELARA. It mentions dosing limits based on weight and indication, but does not specify a quantity limit.",NA,Unspecified,Unspecified,Yes,NA,50
361486-4654549.pdf,TREMFYA,FDA labelled age,"Prior Authorization Criteria for TREMFYA in Plaque Psoriasis (moderate-to-severe):

1. The patient must have a diagnosis of moderate to severe plaque psoriasis.
2. The patient must have tried and failed at least one systemic therapy or phototherapy.
3. The patient must have a body surface area (BSA) of 10% or greater.
4. The patient must have a history of inadequate response to at least one biologic or systemic therapy.",NA,2,No,Yes,NA,Dermatologist,Unspecified,NA,Yes,"Continuation of therapy with TREMFYA is considered medically necessary when the following criteria are met:

• The patient has shown a clinical response to therapy as evidenced by a reduction in Psoriasis Area and Severity Index (PASI) score or a Physician's Global Assessment (PGA) of 0 or 1.

• The patient has not experienced any disease progression as evidenced by an increase in PASI score or PGA of 3 or greater.

• The patient has not experienced any adverse effects that would preclude continued therapy.

• The patient has not exceeded the maximum quantity level limit for TREMFYA.",50
363337-5004251.pdf,STELARA,>=18,NA,NA,1,No,NA,"NA 

(Note: The provided context does not mention STELARA or its generic name, but rather IBS-D, which is a different indication.)",Dermatologist,Unspecified,12,Yes,NA,50
270849-4873664.pdf,TREMFYA,FDA labelled age,"**Step Therapy Requirements Documented in Policy**

For the treatment of plaque psoriasis (moderate-to-severe), the following step therapy requirements apply:

1. The patient must have previously received a biologic or a non-biologic systemic agent for the treatment of moderate-to-severe plaque psoriasis, and have had an inadequate response to the previous therapy.
2. The patient must have a body surface area (BSA) of 10% or greater.
3. The patient must have phototherapy as a part of their treatment regimen.",1,NA,No,NA,"NA

No quantity limits are mentioned in the provided policy document context for TREMFYA (guselkumab) in the treatment of Psoriasis (PsO) / Plaque Psoriasis (moderate-to-severe).",Dermatologist,12,6,Yes,"Reauthorization Requirements Documented in Policy:

NA",50
258503-4913513.pdf,TREMFYA,FDA labelled age,"For TREMFYA in Plaque Psoriasis (moderate-to-severe), the step therapy requirements documented in policy are:

""Authorization of 12 months may be granted for adult members who were previously authorized by HMSA/HMSA’s Pharmacy Benefit Manager and achieve or maintain a positive clinical response from Tremfya therapy as evidenced by low disease activity or improvement in signs and symptoms of the condition when either of the following is met: 
1. Reduction in body surface area (BSA) affected from baseline 
2. Improvement in signs and symptoms from baseline (e.g., itching, redness, flaking, scaling, burning, cracking, pain)",2,NA,No,Yes,"NA

No quantity limits are explicitly stated for TREMFYA in the provided policy document context.",Dermatologist,12,12,Yes,"Reauthorization Requirements Documented in Policy:

For adult members with plaque psoriasis (PsO) who were previously authorized by HMSA/HMSA’s Pharmacy Benefit Manager, reauthorization of 12 months may be granted if they achieve or maintain a positive clinical response from Tremfya therapy as evidenced by:
1. Reduction in body surface area (BSA) affected from baseline
2. Improvement in signs and symptoms from baseline (e.g., itching, redness, flaking, scaling, burning, cracking, pain)",50
58918-4969735.pdf,STELARA,>=6,"For STELARA in Plaque Psoriasis (moderate-to-severe), the Step Therapy Requirements Documented in Policy are:

All members (including new members and members currently receiving treatment without prior authorization) must meet criteria for initial approval in section C. 
Authorization of 12 months may be granted to members 6 years of age and older who were previously authorized by HMSA/CVS for the requested drug and achieve or maintain a positive clinical response as evidenced by low disease activity or improvement in signs and symptoms of the condition when either of the following is met: 
1. Reduction in body surface area (BSA) affected from baseline 
2. Improvement in signs and symptoms from baseline (e.g., itching, redness, flaking, scaling, burning, cracking, pain)",NA,NA,No,Yes,"NA

There is no mention of quantity limits for STELARA in the provided context.",Dermatologist,Unspecified,12,Yes,"Reauthorization Requirements Documented in Policy:

To be eligible for reauthorization, members 6 years of age and older who were previously authorized by HMSA/CVS for STELARA must achieve or maintain a positive clinical response as evidenced by low disease activity or improvement in signs and symptoms of the condition when either of the following is met:

1. Reduction in body surface area (BSA) affected from baseline
2. Improvement in signs and symptoms from baseline (e.g., itching, redness, flaking, scaling, burning, cracking, pain)",50
258492-5030356.pdf,STELARA,FDA labelled age,NA,NA,NA,No,No,NA,NA,12,6,Yes,NA,75
379899-5030421.pdf,STELARA,>=6,"The medication must be prescribed by or in consultation with a dermatologist for plaque psoriasis. Authorization of 12 months may be granted for members 6 years of age and older who have previously received a biologic or targeted synthetic drug (e.g., Sotyktu, Otezla) indicated for plaque psoriasis.",1,NA,No,Yes,NA,Dermatologist,12,12,Yes,"Reauthorization Requirements Documented in Policy:

A. Plaque psoriasis (PsO) 
Authorization of 12 months may be granted to members 6 years of age and older who were previously authorized by HMSA/HMSA’s Pharmacy Benefit Manager for the requested drug and achieve or maintain a positive clinical response as evidenced by low disease activity or improvement in signs and symptoms of the condition when either of the following is met: 
1. Reduction in body surface area (BSA) affected from baseline 
2. Improvement in signs and symptoms from baseline (e.g., itching, redness, flaking, scaling, burning, cracking, pain)",50
362198-4805629.pdf,STELARA,FDA labelled age,"In addition to diagnosis criteria outlined above, Member must fail a therapeutic trial (at least 3 months duration) of:

i. All HAP preferred anti-TNF agents or have intolerable side effects or contraindications to treatment with all HAP preferred anti-TNF agents",2,1,Yes,Yes,NA,Dermatologist,Unspecified,12,Yes,"7. In general, if renewal requirements are satisfied, subsequent approvals of 12 months duration are contingent on demonstrated response as evident in the medical records. Exceptions to the renewal duration are: change in dose, lack of response, lack of adherence to the regimen and lack of follow-up with the specialty provider.
8. Plaque psoriasis: Continuation coverage is limited to Members who demonstrate clearing of 50% or greater of affected body surface area of plaque psoriasis.",25
333345-4841422.pdf,TREMFYA,FDA labelled age,"Documented failure, intolerance, or contraindication to topical therapy (topical corticosteroids, vitamin D analogs, etc) AND documented failure to respond to a minimum 3 month trial, intolerance, or contraindication to any ONE of the following: 
• Cimzia 
• Covered adalimumab biosimilars 
• Enbrel 
• Covered ustekinumab biosimilars 
• Tremfya 
• Skyrizi",2,1,No,Yes,"NA

There is no mention of quantity limits for TREMFYA in the provided document context.",Dermatologist,Unspecified,Unspecified,No,"NA

The provided document context does not contain explicit reauthorization criteria for TREMFYA (PsO).",50
372505-5024739.pdf,STELARA,>=6,"For STELARA in Plaque Psoriasis (moderate-to-severe), the step therapy requirements are as follows:

""Prescriber must provide documentation of ALL of the following: 
Plaque Psoriasis 
• Member is ≥6 years of age AND 
• Prescribed by or in consultation with a dermatologist AND 
• Diagnosis of generalized moderate to severe chronic plaque psoriasis involving ≥ 10% of 
body surface area AND 
• Member has had a minimum duration of a 4-week trial and failure, or intolerance to ONE 
of the following topical therapies or contraindication to ALL of them: 
o Corticosteroids 
o Vitamin D analogs 
o Tazarotene 
o Calcineurin inhibitors 

OR 

Prescriber must provide documentation of ALL of the following: 
Plaque Psoriasis 
• Member is ≥6 years of age AND 
• Prescribed by or in consultation with a dermatologist AND 
• Diagnosis of plaque psoriasis AND 
• Member must have demonstrated a clinical response to therapy (i.e. reduction in body 
surface area involvement or improvement in PASI score) AND 
• Member is not on concurrent treatment with a TNF-inhibitor, biologic response modifier 
or other non-biologic agent [for example (list not all inclusive): abatacept (Orencia), 
secukinumab (Cosentyx), golimumab (Simponi), certolizumab (Cimzia), etanercept 
(Enbrel) infliximab (Remicade), rituximab (Rituxan), upadacitinib (Rinvoq), adalimumab 
(Humira), tocilizumab (Actemra), sarilumab (Kevzara), natalizumab (Tysabri), tofacitinib 
(Xeljanz or Xeljanz XR), apremilast (Otezla)]",1,1,No,NA,"o Psoriasis: quantity limit 1 injection/12 weeks 
o Psoriatic arthritis: quantity limit 1 injection/12 weeks.",Dermatologist,Unspecified,12,Yes,"Prescriber must provide documentation of ALL of the following: 
Plaque Psoriasis 
• Member is ≥6 years of age AND 
• Prescribed by or in consultation with a dermatologist AND 
• Diagnosis of generalized moderate to severe chronic plaque psoriasis involving ≥ 10% of 
body surface area AND 
• Member has had a minimum duration of a 4-week trial and failure, or intolerance to ONE 
of the following topical therapies or contraindication to ALL of them: 
o Corticosteroids 
o Vitamin D analogs 
o Tazarotene 
o Calcineurin inhibitors",25
372229-5027532.pdf,TREMFYA,FDA labelled age,"Step Therapy Requirements Documented in Policy:

For continuation of therapy, the member must meet the following criteria:
- Member is ≥18 years of age AND  
- Prescribed by or in consultation with a dermatologist AND 
- Diagnosis of plaque psoriasis AND 
- Documentation of positive clinical response to Tremfya therapy (e.g., labs, sign/symptom reduction, no disease progression, no significant toxicity) AND  
- Member is not on concurrent treatment with a TNF-inhibitor, biologic response modifier or other non-biologic agent [for example (list not all inclusive): abatacept (Orencia), adalimumab (Humira), adalimumab-atto (Amjevita), upadacitinib (Rinvoq), certolizumab (Cimzia), etanercept (Enbrel) infliximab (Remicade), rituximab (Rituxan), apremilast (Otezla), ustekinumab (Stelara), tocilizumab (Actemra), secukinumab (Cosentyx), sarilumab (Kevzara), natalizumab (Tysabri), tofacitinib (Xeljanz or Xeljanz XR), baricitinib (Olumiant)]",2,1,No,NA,"• Plaque psoriasis and psoriatic arthritis: 100mg strength only 1/56 
• Ulcerative Colitis:  
   Subq: 200mg: 1 inj per month, 100mg: 1 inj every 2 months 
• Crohn’s disease:  
   Subq: 200mg: 1 inj per month, 100mg: 1 inj every 2 months",Dermatologist,6,12,Yes,"Criteria for continuation of therapy: 
Plaque Psoriasis 
• Member is ≥18 years of age AND  
• Prescribed by or in consultation with a dermatologist AND 
• Diagnosis of plaque psoriasis AND 
• Documentation of positive clinical response to Tremfya therapy (e.g., labs, sign/symptom 
reduction, no disease progression, no significant toxicity) AND  
• Member is not on concurrent treatment with a TNF-inhibitor, biologic response modifier or 
other non-biologic agent [for example (list not all inclusive): abatacept (Orencia), 
adalimumab (Humira), adalimumab-atto (Amjevita), upadacitinib (Rinvoq), certolizumab 
(Cimzia), etanercept (Enbrel) infliximab (Remicade), rituximab (Rituxan), apremilast 
(Otezla), ustekinumab (Stelara), tocilizumab (Actemra), secukinumab (Cosentyx), sarilumab 
(Kevzara), natalizumab (Tysabri), tofacitinib (Xeljanz or Xeljanz XR), baricitinib 
(Olumiant)]",25
372479-5037971.pdf,STELARA,>=6,"For STELARA in Plaque Psoriasis (moderate-to-severe), the step therapy requirements are as follows:

Prescriber must provide documentation of ALL of the following:
Plaque Psoriasis 
• Member is ≥6 years of age AND 
• Prescribed by or in consultation with a dermatologist AND 
• Diagnosis of generalized moderate to severe chronic plaque psoriasis involving ≥ 10% of 
body surface area AND 
• Member has had a minimum duration of a 4-week trial and failure, or intolerance to ONE 
of the following topical therapies or contraindication to ALL of them: 
o Corticosteroids 
o Vitamin D analogs 
o Tazarotene 
o Calcineurin inhibitors 

OR 

Prescriber must provide documentation of ALL of the following:
Plaque Psoriasis 
• Member is ≥6 years of age AND 
• Prescribed by or in consultation with a dermatologist AND 
• Diagnosis of plaque psoriasis AND 
• Member must have demonstrated a clinical response to therapy (i.e. reduction in body 
surface area involvement or improvement in PASI score) AND 
• Member is not on concurrent treatment with a TNF-inhibitor, biologic response modifier 
or other non-biologic agent [for example (list not all inclusive): abatacept (Orencia), 
secukinumab (Cosentyx), golimumab (Simponi), certolizumab (Cimzia), etanercept 
(Enbrel) infliximab (Remicade), rituximab (Rituxan), upadacitinib (Rinvoq), adalimumab 
(Humira), tocilizumab (Actemra), sarilumab (Kevzara), natalizumab (Tysabri), tofacitinib 
(Xeljanz or Xeljanz XR), apremilast (Otezla)]",1,"Based on the provided context, the number of steps through generic for STELARA approval for PsO is:",No,NA,"o Psoriasis: quantity limit 1 injection/12 weeks 
o Psoriatic arthritis: quantity limit 1 injection/12 weeks",Dermatologist,Unspecified,12,Yes,"Prescriber must provide documentation of ALL of the following: 
Plaque Psoriasis 
• Member is ≥6 years of age AND 
• Prescribed by or in consultation with a dermatologist AND 
• Diagnosis of generalized moderate to severe chronic plaque psoriasis involving ≥ 10% of 
body surface area AND 
• Member has had a minimum duration of a 4-week trial and failure, or intolerance to ONE 
of the following topical therapies or contraindication to ALL of them: 
o Corticosteroids 
o Vitamin D analogs 
o Tazarotene 
o Calcineurin inhibitors",50
84074-5053811.pdf,STELARA,FDA labelled age,NA,NA,NA,No,Yes,NA,NA,Unspecified,NA,Yes,"Renewal Criteria: 
Patient continues to meet the universal and other indication-specific relevant criteria identified in section III; AND 
Duration of authorization has not been exceeded (refer to Section I); AND 
Absence of unacceptable toxicity from the drug. Examples of unacceptable toxicity include: 
serious infections, malignancy, severe hypersensitivity reactions, posterior reversible 
encephalopathy syndrome (PRES) or reversible posterior leukoencephalopathy syndrome 
(RPLS), non-infectious pneumonia, etc.; AND 
Disease response as indicated by improvement in signs and symptoms compared to baseline 
such as redness, thickness, scaliness, and/or the amount of surface area involvement (a total 
BSA involvement ≤ 1%), and/or an improvement on a disease activity scoring tool [e.g., Psoriasis 
Area and Severity Index (PASI) score ≤ 3, physician’s global assessment (PGA) score ≤ 1, etc.].",50
51842-4975862.pdf,STELARA,>=6,NA,1,NA,No,NA,NA,Dermatologist,Unspecified,6,Yes,"For continuation of therapy, all of the following: 
Documentation of positive clinical response; and 
Prescriber attestation that the patient or caregiver are not able to be trained or are physically unable to administer ustekinumab FDA labeled for self-administration; prescriber must submit explanation; and 
Ustekinumab is to be administered 8 weeks after the initial intravenous dose; and 
Ustekinumab continuation dosing is in accordance with the United States Food and Drug Administration approved labeled dosing for Crohn’s disease; and 
Patient is not receiving ustekinumab in combination with a targeted immunomodulator [e.g., adalimumab, Cimzia (certolizumab), Entyvio (vedolizumab), Omvoh (mirikizumab-mrkz), Rinvoq (upadacitinib), Skyrizi (risankizumab), Tremfya (guselkumab)]; and 
Authorization is for no more than 12 months.",50
255517-4865097.pdf,TREMFYA,FDA labelled age,"Tremfya will be approved based on all of the following criteria:  
(1)  Diagnosis of moderate to severe plaque psoriasis 
 
-AND- 
 
(2)  One of the following: 
 
(a)  All of the following: 
 
i.  Greater than or equal to 3% body surface area involvement, palmoplantar, 
facial, genital involvement, or severe scalp psoriasis 
 
-AND- 
 
ii.  History of failure to one of the following topical therapies, unless 
contraindicated or clinically significant adverse effects are experienced 
(document drug, date, and duration of trial): 
 
a. Corticosteroids (e.g., betamethasone, clobetasol, desonide) 
b. Vitamin D analogs (e.g., calcitriol, calcipotriene) 
c.  Tazarotene 
d.  Calcineurin inhibitors (e.g., tacrolimus, pimecrolimus)  
e.  Anthralin 
f.  Coal tar",1,1,No,NA,"NA

There is no explicit mention of ""Quantity Limits"" or ""Quantity Level Limit"" in the provided document context for TREMFYA (Guselkumab) in the treatment of moderate-to-severe plaque psoriasis.",Dermatologist,6,Unspecified,NA,Documentation of positive clinical response to Tremfya therapy -AND- Patient is not receiving Tremfya in combination with another targeted immunomodulator.,50
255515-5050321.pdf,STELARA,>=6,NA,NA,NA,No,NA,NA,Dermatologist,12,6,Yes,"Continued clinical benefit, lack of disease progression, or specific lab values; documentation of previous or current therapy with a biologic; and submission of medical records.",75
167126-4508319.pdf,TREMFYA,FDA labelled age,NA,1,2,No,NA,NA,Dermatologist,12,6,Yes,NA,50
187701-5050284.pdf,TREMFYA,FDA labelled age,"The patient must have a diagnosis of active Psoriatic Arthritis and must be prescribed by or in consultation with a Rheumatologist or Dermatologist. The patient must also have documentation of drug failure or serious side effects with TWO of the following: Enbrel, Humira/Simlandi/Hadlima, Stelara SC, Cosentyx, Otezla, Tremfya, Skyrizi, Rinvoq, and Xeljanz/XR.",1,NA,No,Yes,h. Quantity Limit of 4 syringes per 28 days,Dermatologist,3,12,Yes,Recertification will require documentation confirming clinical improvement in signs and symptoms of Psoriatic Arthritis.,25
296792-5001283.pdf,STELARA,FDA labelled age,"**Step Therapy Requirements Documented in Policy**

Prior authorization is required for STELARA in the treatment of moderate-to-severe plaque psoriasis. The following step therapy requirements apply:

1. The patient must have previously received a biologic or phototherapy, or have been treated with a non-biologic systemic agent (e.g., methotrexate, cyclosporine, or acitretin) for at least 3 months without adequate response.
2. The patient must have a body surface area (BSA) of at least 10% affected by psoriasis.
3. The patient must have a history of inadequate response to, or intolerance of, at least one non-biologic systemic agent (e.g., methotrexate, cyclosporine, or acitretin) for the treatment of moderate-to-severe plaque psoriasis.","Based on the provided context, I found the following relevant information:",2,No,NA,NA,NA,Unspecified,Unspecified,Yes,continuation of therapy. Trial of all preferred formulary agents is required unless all are contraindicated. Trial must result in an inadequate response after four consecutive months of use per medication or a severe adverse reaction.,50
