Filename,Brand,Age,Step Therapy Requirements Documented in Policy,Number of Steps through Brands,Number of Steps through Generic,Step through-Phototherapy,TB Test required,Quantity Limits,Specialist Types,Initial Authorization Duration(in-months),Reauthorization Duration(in-months),Reauthorization Required,Reauthorization Requirements Documented in Policy,Access Score
296961-4569911.pdf,TREMFYA,NA,"**Step Therapy Requirements Documented in Policy**

Prior authorization is required for all biologics, including Tremfya, for the treatment of plaque psoriasis. The patient must have a documented history of inadequate response to, or intolerance to, at least one other systemic non-biologic therapy (e.g., cyclosporine, methotrexate, or a phototherapy regimen) for the treatment of moderate-to-severe plaque psoriasis.","Based on the provided document context, the steps required before TREMFYA approval for PsO are:",2,No,Yes,"NA

The provided document context does not explicitly mention quantity limits for TREMFYA. It only references quantity level limits for other brands and instructs to reference the formulary for drug-specific quantity level limits.",Dermatologist,NA,NA,Yes,"1. Documentation of positive clinical response to therapy 
2. Patient is not receiving medication with another BRM 
3. Patient is monitored for active TB during treatment (where applicable) 
4.  Patient is monitored for lymphoma and other malignancies during treatment (where 
applicable)",50
337814-4985370.pdf,STELARA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75
337814-4985370.pdf,TREMFYA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75
364054-4720790.pdf,STELARA,NA,NA,NA,NA,NA,NA,"NA

The provided context does not mention STELARA or its generic name, and the quantity limit information is related to a different diagnosis (IBS-D).",Dermatologist,NA,NA,NA,NA,50
364054-4720790.pdf,TREMFYA,NA,NA,NA,1,NA,NA,"NA

The provided context does not mention any quantity limits for TREMFYA or its generic name for the indication of Psoriasis (PsO) / Plaque Psoriasis (moderate-to-severe).",Dermatologist,NA,NA,NA,NA,50
56061-4538520.pdf,STELARA,>=6,"Step Therapy Requirements Documented in Policy:

1. Initial Authorization Request must include:
   - Confirmation patient is not receiving concurrent phototherapy
   - Previous therapies trialed and the nature of the failure
   - Monitoring plan
   - Complete medication regimen
   - Requested dosing which conforms to an FDA approved regimen based on indication
   - Current weight

   AND

   For Plaque Psoriasis (PsO), patient must be candidates for phototherapy or systemic therapy.

   AND

   Patient must have previously tried and failed at least one of the following:
   - Topical corticosteroids
   - Topical retinoids
   - Topical vitamin D analogues
   - Topical calcineurin inhibitors
   - Phototherapy
   - Systemic agents (e.g., methotrexate, cyclosporine, acitretin)

   OR

   Patient must have a body surface area (BSA) of 10% or greater.",1,"Based on the provided context, the extracted value for ""Number of Steps through Generic"" is:",No,NA,NA,NA,Unspecified,NA,NA,NA,50
361486-4654549.pdf,TREMFYA,>=18,"Initial Authorization Request must include: 
▪ Monitoring plan 
▪ Previous therapies trialed and the nature of the failure 
▪ Complete medication regimen 
▪ Confirmation patient is not receiving concurrent phototherapy 
▪ Requested dosing which conforms to an FDA approved regimen based on indication 

AND 

Patient must have previously tried and failed at least one systemic therapy (e.g., cyclosporine, methotrexate, or a biologic) for moderate to severe plaque psoriasis.",1,2,No,Yes,NA,Dermatologist,12,NA,NA,NA,50
363337-5004251.pdf,STELARA,NA,NA,NA,1,NA,NA,"NA

The provided context does not mention STELARA or its generic name, and the quantity limit information is for a different diagnosis (IBS-D).",Dermatologist,NA,NA,NA,NA,50
270849-4873664.pdf,TREMFYA,NA,"Based on the provided policy document context, the extracted value for ""Step Therapy Requirements Documented in Policy"" for TREMFYA in Plaque Psoriasis (moderate-to-severe) is:

""Prior authorization is required for TREMFYA for the treatment of moderate-to-severe plaque psoriasis. The following step therapy criteria must be met:

1. The patient must have a documented history of inadequate response to, or intolerance to, at least two conventional systemic therapies (e.g., cyclosporine, methotrexate, or acitretin) and/or at least two phototherapy treatments (e.g., PUVA or narrowband UVB) for the treatment of moderate-to-severe plaque psoriasis.
2. The patient must have a documented history of inadequate response to, or intolerance to, at least one tumor necrosis factor-alpha (TNF-alpha) inhibitor for the treatment of moderate-to-severe plaque psoriasis.
3. The patient must have a documented history of inadequate response to, or intolerance to, at least one interleukin-12/23 inhibitor for the treatment of moderate-to-severe plaque psoriasis.",2,NA,No,NA,NA,Dermatologist,NA,NA,NA,NA,50
258503-4913513.pdf,TREMFYA,>=18,"Step Therapy Requirements Documented in Policy:

For reauthorization of TREMFYA for Plaque Psoriasis (PsO), adult members must meet the following criteria:

* Achieve or maintain a positive clinical response from TREMFYA therapy as evidenced by low disease activity or improvement in signs and symptoms of the condition when either of the following is met:
  1. Reduction in body surface area (BSA) affected from baseline
  2. Improvement in signs and symptoms from baseline (e.g., itching, redness, flaking, scaling, burning, cracking, pain)",NA,NA,No,Yes,"NA

There is no explicit mention of quantity limits for TREMFYA in the provided policy document context.",Dermatologist,12,12.0,Yes,"Reauthorization Requirements Documented in Policy:

For adult members with plaque psoriasis (PsO), reauthorization of 12 months may be granted if they achieve or maintain a positive clinical response from Tremfya therapy as evidenced by:
1. Reduction in body surface area (BSA) affected from baseline
2. Improvement in signs and symptoms from baseline (e.g., itching, redness, flaking, scaling, burning, cracking, pain)",50
58918-4969735.pdf,STELARA,>=6,"For STELARA in Plaque Psoriasis (moderate-to-severe), the Step Therapy Requirements Documented in Policy are:

""Authorization of 12 months may be granted to members 6 years of age and older who were previously authorized by HMSA/CVS for the requested drug and achieve or maintain a positive clinical response as evidenced by low disease activity or improvement in signs and symptoms of the condition when either of the following is met: 
1. Reduction in body surface area (BSA) affected from baseline 
2. Improvement in signs and symptoms from baseline (e.g., itching, redness, flaking, scaling, burning, cracking, pain)",NA,NA,No,Yes,"NA

There is no explicit mention of quantity limits for STELARA in the provided policy document context.",Dermatologist,12,12.0,Yes,"Reauthorization Requirements Documented in Policy:

To be eligible for reauthorization, members 6 years of age and older who were previously authorized by HMSA/CVS for STELARA must achieve or maintain a positive clinical response as evidenced by low disease activity or improvement in signs and symptoms of the condition when either of the following is met:
1. Reduction in body surface area (BSA) affected from baseline
2. Improvement in signs and symptoms from baseline (e.g., itching, redness, flaking, scaling, burning, cracking, pain)",50
258492-5030356.pdf,STELARA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75
379899-5030421.pdf,STELARA,>=6,NA,NA,NA,No,Yes,"NA

There is no explicit mention of quantity limits for STELARA in the provided policy document context.",Dermatologist,12,12.0,Yes,"Reauthorization Requirements Documented in Policy:

For STELARA PsO, reauthorization may be granted for 12 months to members 6 years of age and older who were previously authorized and achieve or maintain a positive clinical response as evidenced by low disease activity or improvement in signs and symptoms of the condition when either of the following is met:
1. Reduction in body surface area (BSA) affected from baseline
2. Improvement in signs and symptoms from baseline (e.g., itching, redness, flaking, scaling, burning, cracking, pain)",50
362198-4805629.pdf,STELARA,>=18,"Member must fail a therapeutic trial of ALL HAP preferred anti-TNF agents (unless clinically significant medical contraindications are documented).
Member must fail a therapeutic trial of any ONE of the following oral agents:
a. Three month trial of any ONE of the following oral agents: methotrexate, cyclosporine or acitretin (Soriatane) OR
b. Member has not responded to at least one 30-treatment course of photochemotherapy [psoralen plus ultraviolet A (PUVA)] – or – phototherapy [ultraviolet B (UVB)]. Poor response is defined as <50% clearing of psoriasis plaques from the initially affected body surface.",1,1,No,Yes,NA,Dermatologist,12,12.0,Yes,"In general, if renewal requirements are satisfied, subsequent approvals of 12 months duration are contingent on demonstrated response as evident in the medical records. Exceptions to the renewal duration are: change in dose, lack of response, lack of adherence to the regimen and lack of follow-up with the specialty provider. For Plaque psoriasis, continuation coverage is limited to Members who demonstrate clearing of 50% or greater of affected body surface area of plaque psoriasis.",50
333345-4841422.pdf,TREMFYA,NA,"Documented failure, intolerance, or contraindication to topical therapy (topical corticosteroids, vitamin D analogs, etc) AND documented failure to respond to a minimum 3 month trial, intolerance, or contraindication to any ONE of the following: 
• Cimzia 
• Covered adalimumab biosimilars 
• Enbrel 
• Covered ustekinumab biosimilars 
• Tremfya 
• Skyrizi",1,2,No,No,NA,NA,NA,NA,NA,NA,50
372505-5024739.pdf,STELARA,>=6,"For STELARA in Plaque Psoriasis (moderate-to-severe), the step therapy requirements are as follows:

""Prescriber must provide documentation of ALL of the following: 
Plaque Psoriasis 
• Member is ≥6 years of age AND 
• Prescribed by or in consultation with a dermatologist AND 
• Diagnosis of generalized moderate to severe chronic plaque psoriasis involving ≥ 10% of 
body surface area AND 
• Member has had a minimum duration of a 4-week trial and failure, or intolerance to ONE 
of the following topical therapies or contraindication to ALL of them: 
o Corticosteroids 
o Vitamin D analogs 
o Tazarotene 
o Calcineurin inhibitors 

OR 

Prescriber must provide documentation of ALL of the following: 
Plaque Psoriasis 
• Member is ≥6 years of age AND 
• Prescribed by or in consultation with a dermatologist AND 
• Diagnosis of plaque psoriasis AND 
• Member must have demonstrated a clinical response to therapy (i.e. reduction in body 
surface area involvement or improvement in PASI score) AND 
• Member is not on concurrent treatment with a TNF-inhibitor, biologic response modifier 
or other non-biologic agent [for example (list not all inclusive): abatacept (Orencia), 
secukinumab (Cosentyx), golimumab (Simponi), certolizumab (Cimzia), etanercept 
(Enbrel) infliximab (Remicade), rituximab (Rituxan), upadacitinib (Rinvoq), adalimumab 
(Humira), tocilizumab (Actemra), sarilumab (Kevzara), natalizumab (Tysabri), tofacitinib 
(Xeljanz or Xeljanz XR), apremilast (Otezla)]",1,"Based on the provided context, the number of steps through generic for STELARA approval for PsO is:",No,NA,NA,Dermatologist,NA,NA,Yes,"Prescriber must provide documentation of ALL of the following: 
Plaque Psoriasis 
• Member is ≥6 years of age AND 
• Prescribed by or in consultation with a dermatologist AND 
• Diagnosis of plaque psoriasis AND 
• Member must have demonstrated a clinical response to therapy (i.e. reduction in body 
surface area involvement or improvement in PASI score) AND 
• Member is not on concurrent treatment with a TNF-inhibitor, biologic response modifier 
or other non-biologic agent [for example (list not all inclusive): abatacept (Orencia), 
secukinumab (Cosentyx), golimumab (Simponi), certolizumab (Cimzia), etanercept 
(Enbrel) infliximab (Remicade), rituximab (Rituxan), upadacitinib (Rinvoq), adalimumab 
(Humira), tocilizumab (Actemra), sarilumab (Kevzara), natalizumab (Tysabri), tofacitinib 
(Xeljanz or Xeljanz XR), apremilast (Otezla)]",50
372229-5027532.pdf,TREMFYA,>=18,"Step Therapy Requirements Documented in Policy:

For continuation of therapy, the following criteria must be met:
Member is ≥18 years of age AND Prescribed by or in consultation with a dermatologist AND Diagnosis of plaque psoriasis AND Documentation of positive clinical response to Tremfya therapy (e.g., labs, sign/symptom reduction, no disease progression, no significant toxicity) AND Member is not on concurrent treatment with a TNF-inhibitor, biologic response modifier or other non-biologic agent.",2,1,No,NA,"For TREMFYA (guselkumab) with the indication of Psoriasis (PsO) / Plaque Psoriasis (moderate-to-severe), the extracted quantity limit text is:

""Plaque psoriasis and psoriatic arthritis: 100mg strength only 1/56""

This is the exact quantity limit text as stated in the policy document.",Dermatologist,NA,NA,Yes,"Criteria for continuation of therapy: 
Plaque Psoriasis 
• Member is ≥18 years of age AND  
• Prescribed by or in consultation with a dermatologist AND 
• Diagnosis of plaque psoriasis AND 
• Documentation of positive clinical response to Tremfya therapy (e.g., labs, sign/symptom 
reduction, no disease progression, no significant toxicity) AND  
• Member is not on concurrent treatment with a TNF-inhibitor, biologic response modifier or 
other non-biologic agent [for example (list not all inclusive): abatacept (Orencia), 
adalimumab (Humira), adalimumab-atto (Amjevita), upadacitinib (Rinvoq), certolizumab 
(Cimzia), etanercept (Enbrel) infliximab (Remicade), rituximab (Rituxan), apremilast 
(Otezla), ustekinumab (Stelara), tocilizumab (Actemra), secukinumab (Cosentyx), sarilumab 
(Kevzara), natalizumab (Tysabri), tofacitinib (Xeljanz or Xeljanz XR), baricitinib 
(Olumiant)]",25
372479-5037971.pdf,STELARA,>=6,"For STELARA in Plaque Psoriasis (moderate-to-severe), the step therapy requirements are as follows:

""Prescriber must provide documentation of ALL of the following: 
Plaque Psoriasis 
• Member is ≥6 years of age AND 
• Prescribed by or in consultation with a dermatologist AND 
• Diagnosis of generalized moderate to severe chronic plaque psoriasis involving ≥ 10% of 
body surface area AND 
• Member has had a minimum duration of a 4-week trial and failure, or intolerance to ONE 
of the following topical therapies or contraindication to ALL of them: 
o Corticosteroids 
o Vitamin D analogs 
o Tazarotene 
o Calcineurin inhibitors 

OR 

Prescriber must provide documentation of ALL of the following: 
Plaque Psoriasis 
• Member is ≥6 years of age AND 
• Prescribed by or in consultation with a dermatologist AND 
• Diagnosis of plaque psoriasis AND 
• Member must have demonstrated a clinical response to therapy (i.e. reduction in body 
surface area involvement or improvement in PASI score) AND 
• Member is not on concurrent treatment with a TNF-inhibitor, biologic response modifier 
or other non-biologic agent [for example (list not all inclusive): abatacept (Orencia), 
secukinumab (Cosentyx), golimumab (Simponi), certolizumab (Cimzia), etanercept 
(Enbrel) infliximab (Remicade), rituximab (Rituxan), upadacitinib (Rinvoq), adalimumab 
(Humira), tocilizumab (Actemra), sarilumab (Kevzara), natalizumab (Tysabri), tofacitinib 
(Xeljanz or Xeljanz XR), apremilast (Otezla)]",1,"Based on the provided context, the number of steps through generic for STELARA approval for PsO is:",No,NA,o STELARA: quantity limit 1 injection/8 weeks,Dermatologist,Unspecified,NA,Yes,"For STELARA (PsO), the reauthorization/renewal criteria text is:

""Prescriber must provide documentation of ALL of the following: 
Plaque Psoriasis 
• Member is ≥6 years of age AND 
• Prescribed by or in consultation with a dermatologist AND 
• Diagnosis of plaque psoriasis AND 
• Member must have demonstrated a clinical response to therapy (i.e. reduction in body 
surface area involvement or improvement in PASI score) AND 
• Member is not on concurrent treatment with a TNF-inhibitor, biologic response modifier 
or other non-biologic agent [for example (list not all inclusive): abatacept (Orencia), 
secukinumab (Cosentyx), golimumab (Simponi), certolizumab (Cimzia), etanercept 
(Enbrel) infliximab (Remicade), rituximab (Rituxan), upadacitinib (Rinvoq), adalimumab 
(Humira), tocilizumab (Actemra), sarilumab (Kevzara), natalizumab (Tysabri), tofacitinib 
(Xeljanz or Xeljanz XR), apremilast (Otezla)]",50
84074-5053811.pdf,STELARA,NA,"For STELARA in Plaque Psoriasis (moderate-to-severe), the step therapy requirements are:

o Patient did not respond adequately (or is not a candidate) to a trial of topical agents (i.e., corticosteroids); AND 
o Patient did not respond adequately (or is not a candidate) to a trial of phototherapy (i.e., psoralens with UVA light [PUVA] or UVB with coal tar or dithranol)",1,1,No,NA,NA,NA,NA,NA,Yes,"Patient continues to meet the universal and other indication-specific relevant criteria identified in section III; AND 
Duration of authorization has not been exceeded (refer to Section I); AND 
Absence of unacceptable toxicity from the drug. Examples of unacceptable toxicity include: 
serious infections, malignancy, severe hypersensitivity reactions, posterior reversible 
encephalopathy syndrome (PRES) or reversible posterior leukoencephalopathy syndrome 
(RPLS), non-infectious pneumonia, etc.; AND 
Disease response as indicated by improvement in signs and symptoms compared to baseline 
such as redness, thickness, scaliness, and/or the amount of surface area involvement (a total 
BSA involvement ≤ 1%), and/or an improvement on a disease activity scoring tool [e.g., Psoriasis 
Area and Severity Index (PASI) score ≤ 3, physician’s global assessment (PGA) score ≤ 1, etc.].",50
51842-4975862.pdf,STELARA,NA,NA,2,NA,NA,NA,NA,Dermatologist,NA,NA,Yes,"For continuation of STELARA (ustekinumab) therapy for PsO, the following reauthorization requirements must be met:

* Documentation of positive clinical response; and
* Prescriber attestation that the patient or caregiver are not able to be trained or are physically unable to administer ustekinumab FDA labeled for self-administration; prescriber must submit explanation; and
* Ustekinumab is initiated and titrated according to US Food and Drug Administration labeled dosing for plaque psoriasis; and
* Patient is not receiving ustekinumab in combination with a targeted immunomodulator [e.g., adalimumab, Bimzelx (bimekizumab-bkzx), Cimzia (certolizumab), Cosentyx (secukinumab), Enbrel (etanercept), Ilumya (tildrakizumab), Otezla (apremilast), Skyrizi (risankizumab), Siliq (brodalumab), Sotyktu (deucravacitinib), Taltz (ixekizumab), Tremfya (guselkumab)]; and
* Authorization is for no more than 12 months",50
255517-4865097.pdf,TREMFYA,>=18,"For TREMFYA in Plaque Psoriasis (moderate-to-severe), the Step Therapy Requirements Documented in Policy are:

Tremfya will be approved based on all of the following criteria:

(1) Diagnosis of moderate to severe plaque psoriasis 
-AND- 
(2) One of the following: 
(a) All of the following: 
i. Greater than or equal to 3% body surface area involvement, palmoplantar, facial, genital involvement, or severe scalp psoriasis 
-AND- 
ii. History of failure to one of the following topical therapies, unless contraindicated or clinically significant adverse effects are experienced (document drug, date, and duration of trial): 
a. Corticosteroids (e.g., betamethasone, clobetasol, desonide) 
b. Vitamin D analogs (e.g., calcitriol, calcipotriene) 
c. Tazarotene 
d. Calcineurin inhibitors (e.g., tacrolimus, pimecrolimus) 
e. Anthralin 
f. Coal tar",2,2,No,NA,"NA

No quantity limit information is explicitly stated for TREMFYA in the provided context.",Dermatologist,12,12.0,Yes,Documentation of positive clinical response to Tremfya therapy -AND- Patient is not receiving Tremfya in combination with another targeted immunomodulator.,25
255515-5050321.pdf,STELARA,NA,NA,NA,NA,NA,NA,"NA

There is no explicit mention of quantity limits for STELARA (ustekinumab) in the provided document context.",Dermatologist,12,12.0,Yes,"NA

The provided document context does not contain explicit reauthorization criteria for STELARA (ustekinumab) for the indication of Psoriasis (PsO) / Plaque Psoriasis (moderate-to-severe).",50
167126-4508319.pdf,TREMFYA,NA,"Step Therapy Requirements Documented in Policy:

""Patients with moderate-to-severe plaque psoriasis who require systemic therapy must have failed or be intolerant to a trial of phototherapy in combination with topical corticosteroids. Patients must also have failed or be intolerant to methotrexate, cyclosporine, or acitretin before initiating biologic therapy. Biologic therapy is considered for patients with severe, refractory psoriasis (treatment failure to 1 or more DMARD).",1,1,No,NA,NA,Dermatologist,NA,NA,NA,NA,50
187701-5050284.pdf,TREMFYA,>=18,"The patient must be a candidate for systemic therapy or phototherapy and meet for ONE of the following (A or B)  
A. The patient must have had a 3-month trial of systemic therapy (i.e., acitretin, methotrexate, or cyclosporine) that resulted in an inadequate response (failure). A 3-month trial will not be required if the member experienced serious side effects during a trial of one of the aforementioned agents OR  
B. The patient must have had a 3-month trial of Ultraviolet B (UVB) Phototherapy or Psoralen Ultraviolet A (PUVA) Phototherapy that resulted in an inadequate response (failure) AND  
b) The patient must also have a documented drug failure or serious side effects to THREE of the following: Humira/Simlandi/Hadlima, Otezla, Sotyktu, Stelara SC, Skyrizi, Tremfya, Cosentyx, Enbrel 
c) Documentation of a baseline Psoriasis Area Severity Index (PASI) score is required",1,1,Yes,No,h. Quantity Limit of 4 syringes per 28 days,Dermatologist,6,6.0,Yes,"Continuation of therapy with TREMFYA for plaque psoriasis will be considered for up to 1 year from the date of the initial prescription. To continue therapy beyond 1 year, the prescriber must document a clinical response to treatment, as evidenced by a reduction in the severity of psoriasis symptoms.",25
